,0,1,2
999424,22.0,0.0,0.0
143361,17.0,4.0,15.0
1196034,12.0,0.0,0.0
999425,18.0,0.0,1.0
1581061,11.0,0.0,12.0
1581064,8.0,0.0,0.0
237576,2.0,1.0,0.0
1581071,1.0,1.0,9.0
387090,69.0,23.0,0.0
1581075,9.0,0.0,7.0
1581076,30.0,0.0,0.0
1581074,4.0,1.0,14.0
1701910,21.0,0.0,0.0
143393,28.0,0.0,18.0
1849383,4.0,0.0,0.0
131111,15.0,5.0,0.0
1095727,13.0,0.0,0.0
84026,7.0,1.0,0.0
84030,1.0,2.0,0.0
1261640,1.0,0.0,0.0
1099853,25.0,4.0,0.0
69710,17.0,0.0,0.0
180311,1.0,0.0,0.0
106588,1.0,2.0,0.0
1515618,6.0,4.0,0.0
1816676,1.0,1.0,0.0
1884263,25.0,4.0,12.0
1859695,2.0,0.0,3.0
596085,29.0,7.0,0.0
1816694,17.0,5.0,0.0
1581179,18.0,5.0,0.0
43131,1.0,0.0,0.0
329854,79.0,23.0,0.0
471189,1.0,0.0,0.0
158,3.0,0.0,0.0
1540257,14.0,0.0,0.0
1759399,13.0,5.0,0.0
84135,2.0,0.0,0.0
53418,1.0,0.0,0.0
53419,5.0,2.0,10.0
450749,52.0,0.0,35.0
69823,37.0,6.0,17.0
53442,1.0,0.0,0.0
1161412,25.0,0.0,41.0
1671366,8.0,0.0,0.0
199,32.0,0.0,18.0
1161416,24.0,0.0,18.0
203,2.0,3.0,7.0
204,40.0,5.0,20.0
82135,5.0,0.0,0.0
626929,57.0,19.0,0.0
626930,39.0,19.0,0.0
626931,44.0,17.0,0.0
1433844,20.0,0.0,2.0
301301,81.0,31.0,0.0
301302,86.0,35.0,6.0
626933,16.0,2.0,0.0
1609975,3.0,0.0,0.0
67825,1.0,0.0,0.0
626940,36.0,12.0,0.0
29359,1.0,0.0,0.0
33030,10.0,5.0,0.0
33033,61.0,27.0,0.0
796937,17.0,4.0,11.0
338188,84.0,23.0,0.0
55565,24.0,0.0,2.0
33038,67.0,18.0,0.0
796942,31.0,10.0,24.0
712976,24.0,8.0,1.0
33039,3.0,1.0,0.0
264463,1.0,0.0,0.0
1702171,13.0,3.0,0.0
82203,3.0,0.0,2.0
712991,1.0,0.0,0.0
938289,2.0,0.0,1.0
1886516,1.0,0.0,0.0
1032505,68.0,21.0,22.0
1032506,17.0,0.0,0.0
239935,57.0,29.0,0.0
713030,14.0,0.0,0.0
1579341,12.0,5.0,0.0
1579342,14.0,6.0,0.0
1579343,64.0,0.0,29.0
665939,45.0,0.0,26.0
1579348,12.0,4.0,0.0
665940,2.0,1.0,0.0
76122,52.0,20.0,37.0
76123,22.0,7.0,4.0
665949,31.0,6.0,0.0
665950,3.0,1.0,0.0
360807,102.0,35.0,0.0
88431,98.0,31.0,0.0
1163670,33.0,17.0,0.0
1163671,11.0,4.0,0.0
407975,2.0,0.0,0.0
78257,13.0,0.0,0.0
936381,34.0,5.0,19.0
154046,87.0,31.0,0.0
418240,9.0,1.0,0.0
655809,11.0,3.0,0.0
168384,1.0,1.0,0.0
1450439,97.0,34.0,0.0
113107,2.0,3.0,0.0
410072,95.0,28.0,0.0
477666,15.0,0.0,0.0
1432052,1.0,0.0,0.0
1673721,54.0,17.0,0.0
649724,23.0,11.0,0.0
1739263,11.0,0.0,0.0
1739265,20.0,3.0,0.0
1227267,4.0,0.0,10.0
1739268,43.0,0.0,26.0
1739270,12.0,0.0,6.0
340486,19.0,4.0,0.0
78345,5.0,6.0,0.0
1227276,31.0,8.0,31.0
1739279,65.0,25.0,20.0
1110546,20.0,8.0,21.0
100886,4.0,2.0,0.0
1499682,27.0,6.0,0.0
1739298,18.0,9.0,0.0
1739299,13.0,0.0,0.0
1739309,14.0,0.0,4.0
322095,25.0,22.0,7.0
305719,22.0,4.0,17.0
1739319,6.0,7.0,0.0
39482,1.0,0.0,0.0
571,8.0,0.0,0.0
39485,66.0,23.0,0.0
47678,92.0,34.0,4.0
39486,58.0,15.0,0.0
39488,87.0,33.0,0.0
1860161,20.0,0.0,0.0
39490,90.0,31.0,0.0
39491,102.0,37.0,0.0
45634,18.0,7.0,0.0
39492,45.0,16.0,0.0
1739336,21.0,0.0,0.0
1284680,11.0,0.0,0.0
39496,2.0,2.0,0.0
387661,86.0,28.0,0.0
1739341,4.0,0.0,0.0
469588,9.0,0.0,0.0
469589,14.0,9.0,0.0
166486,89.0,31.0,0.0
469591,77.0,27.0,0.0
469590,57.0,13.0,0.0
469593,80.0,20.0,0.0
469592,22.0,14.0,0.0
1739356,1.0,1.0,0.0
1739357,31.0,6.0,0.0
936548,8.0,0.0,0.0
936549,15.0,6.0,19.0
936550,3.0,0.0,0.0
469609,34.0,0.0,0.0
936554,2.0,0.0,0.0
936561,71.0,27.0,17.0
936562,69.0,24.0,20.0
936563,34.0,21.0,0.0
1739381,20.0,8.0,15.0
936565,8.0,0.0,0.0
1602169,31.0,10.0,0.0
936572,15.0,0.0,0.0
936573,9.0,0.0,0.0
1739389,21.0,0.0,0.0
1602172,1.0,0.0,0.0
936577,37.0,16.0,0.0
936578,14.0,5.0,4.0
1882754,15.0,0.0,0.0
936580,30.0,0.0,22.0
1739397,14.0,0.0,0.0
1329795,1.0,0.0,0.0
936587,19.0,6.0,1.0
936588,26.0,7.0,18.0
936589,6.0,0.0,0.0
1739406,24.0,8.0,20.0
936591,14.0,5.0,11.0
1739408,18.0,0.0,1.0
160404,17.0,4.0,0.0
754327,2.0,0.0,0.0
47770,22.0,0.0,11.0
754331,1.0,0.0,0.0
754330,2.0,2.0,0.0
1280669,52.0,14.0,0.0
1739422,25.0,0.0,1.0
1903262,46.0,19.0,0.0
1739421,16.0,5.0,9.0
658082,88.0,27.0,0.0
658083,1.0,1.0,0.0
1739430,20.0,0.0,11.0
658087,25.0,4.0,0.0
1284775,28.0,11.0,0.0
658089,2.0,1.0,0.0
1739435,76.0,23.0,24.0
457387,37.0,8.0,0.0
457389,10.0,3.0,0.0
457388,14.0,4.0,0.0
457390,24.0,3.0,0.0
457391,66.0,22.0,0.0
457392,93.0,33.0,0.0
29361,82.0,26.0,0.0
457394,91.0,29.0,0.0
457395,75.0,22.0,0.0
457393,40.0,9.0,0.0
457397,19.0,10.0,0.0
29363,18.0,9.0,0.0
457396,11.0,0.0,0.0
74426,47.0,12.0,0.0
672443,9.0,0.0,0.0
1739452,41.0,14.0,23.0
1653435,2.0,0.0,0.0
35517,1.0,0.0,7.0
1841855,20.0,13.0,0.0
1841856,61.0,20.0,0.0
35518,1.0,0.0,2.0
1473216,1.0,0.0,0.0
1739459,19.0,4.0,1.0
457412,71.0,21.0,0.0
1739461,20.0,0.0,0.0
457416,61.0,0.0,33.0
1841865,26.0,8.0,0.0
1739467,10.0,3.0,0.0
457422,2.0,0.0,0.0
29391,73.0,29.0,21.0
1737424,35.0,8.0,0.0
78544,13.0,0.0,6.0
727,9.0,0.0,5.0
729,56.0,14.0,18.0
732,21.0,0.0,12.0
735,17.0,6.0,14.0
1739488,10.0,6.0,3.0
674529,22.0,13.0,0.0
736,13.0,5.0,0.0
739,24.0,8.0,13.0
1739491,23.0,0.0,1.0
60133,37.0,14.0,30.0
1739495,11.0,0.0,7.0
1739496,29.0,0.0,23.0
1739505,14.0,0.0,9.0
1776379,24.0,15.0,0.0
1739517,80.0,18.0,0.0
1776384,41.0,12.0,0.0
363265,50.0,19.0,0.0
1739522,8.0,3.0,11.0
1776388,22.0,5.0,0.0
1133319,10.0,6.0,0.0
1739529,28.0,21.0,7.0
109328,52.0,13.0,15.0
1739537,2.0,1.0,0.0
29466,55.0,11.0,34.0
45851,57.0,18.0,0.0
1739549,19.0,0.0,7.0
502558,1.0,0.0,0.0
817,92.0,33.0,0.0
818,94.0,35.0,0.0
1661745,16.0,3.0,2.0
820,87.0,31.0,0.0
821,104.0,40.0,0.0
823,50.0,13.0,0.0
1321783,1.0,0.0,1.0
1321785,15.0,0.0,0.0
827,21.0,21.0,6.0
1715004,74.0,24.0,0.0
291645,86.0,27.0,0.0
291644,67.0,21.0,0.0
1078087,44.0,13.0,0.0
1078089,63.0,19.0,0.0
1715022,14.0,3.0,5.0
1235790,13.0,0.0,0.0
850,19.0,5.0,0.0
851,77.0,26.0,22.0
853,104.0,39.0,0.0
854,2.0,3.0,0.0
1235800,2.0,0.0,0.0
859,22.0,7.0,8.0
860,61.0,19.0,0.0
861,5.0,0.0,0.0
1848158,18.0,0.0,0.0
39777,24.0,5.0,18.0
39778,3.0,0.0,14.0
1497954,1.0,0.0,1.0
1686379,6.0,0.0,0.0
1686384,8.0,0.0,0.0
97138,17.0,0.0,0.0
351091,2.0,0.0,0.0
58231,2.0,0.0,9.0
901,7.0,2.0,0.0
1715098,16.0,0.0,4.0
357276,83.0,31.0,0.0
871324,31.0,22.0,0.0
871325,37.0,19.0,0.0
1715107,38.0,0.0,28.0
1715113,14.0,9.0,0.0
1917876,29.0,6.0,0.0
1917878,27.0,19.0,0.0
1917883,56.0,17.0,0.0
1715134,19.0,0.0,2.0
187326,1.0,0.0,13.0
1776578,18.0,6.0,0.0
1182659,18.0,3.0,0.0
1852361,9.0,0.0,0.0
1907658,42.0,13.0,0.0
1852365,1.0,0.0,0.0
1852370,50.0,21.0,8.0
43995,1.0,0.0,2.0
1715164,16.0,6.0,15.0
1715165,21.0,0.0,0.0
1852381,19.0,9.0,0.0
43997,37.0,7.0,22.0
1852387,24.0,7.0,0.0
1852388,1.0,0.0,1.0
97253,1.0,0.0,0.0
44008,1.0,0.0,0.0
1182697,11.0,0.0,0.0
1715180,38.0,0.0,16.0
1715183,16.0,0.0,8.0
1723384,1.0,0.0,0.0
35833,79.0,29.0,0.0
52227,20.0,8.0,0.0
246787,2.0,2.0,0.0
1715207,13.0,3.0,0.0
1182732,33.0,13.0,0.0
39950,49.0,21.0,16.0
310297,1.0,2.0,0.0
310298,72.0,22.0,0.0
310300,56.0,10.0,0.0
46124,1.0,0.0,14.0
908340,26.0,7.0,0.0
76860,24.0,9.0,0.0
89153,33.0,6.0,0.0
592978,97.0,34.0,0.0
732242,14.0,0.0,0.0
762964,2.0,0.0,1.0
1111130,30.0,10.0,1.0
1111134,7.0,7.0,0.0
328812,1.0,0.0,0.0
328813,71.0,27.0,0.0
328814,76.0,22.0,0.0
1105030,11.0,0.0,0.0
1870991,2.0,0.0,0.0
1870993,50.0,15.0,0.0
46228,87.0,31.0,0.0
1871006,30.0,20.0,0.0
1805471,22.0,3.0,0.0
1805476,63.0,18.0,0.0
1871013,60.0,19.0,0.0
1608868,15.0,5.0,0.0
1871020,18.0,10.0,0.0
1608882,46.0,8.0,18.0
261299,1.0,0.0,0.0
419005,8.0,3.0,12.0
1608898,32.0,15.0,7.0
1078480,1.0,3.0,0.0
1297617,31.0,6.0,0.0
658655,2.0,0.0,0.0
556258,30.0,5.0,0.0
556259,76.0,17.0,0.0
1539298,13.0,0.0,14.0
658661,12.0,0.0,0.0
658662,28.0,5.0,0.0
556261,17.0,0.0,0.0
341220,2.0,0.0,0.0
658665,1.0,0.0,0.0
658659,1.0,0.0,0.0
1261,47.0,19.0,13.0
228603,16.0,5.0,20.0
228604,23.0,0.0,42.0
1658112,14.0,0.0,0.0
1302,14.0,0.0,0.0
1303,5.0,5.0,0.0
1304,6.0,0.0,0.0
1305,37.0,14.0,0.0
189723,15.0,4.0,0.0
68892,20.0,0.0,0.0
1313,29.0,0.0,24.0
1318,9.0,4.0,0.0
1328,11.0,10.0,7.0
1335,10.0,0.0,0.0
1338,36.0,5.0,0.0
165179,60.0,27.0,0.0
281920,29.0,19.0,6.0
1287488,23.0,3.0,0.0
742722,43.0,10.0,0.0
1768771,26.0,0.0,1.0
908612,2.0,0.0,0.0
1676614,50.0,14.0,0.0
1351,5.0,0.0,0.0
1768777,29.0,0.0,13.0
1156431,10.0,0.0,5.0
515414,24.0,7.0,0.0
1150298,104.0,38.0,0.0
1379,55.0,0.0,25.0
1203556,32.0,0.0,19.0
386414,35.0,15.0,18.0
1574262,25.0,5.0,0.0
28026,4.0,1.0,0.0
28037,45.0,0.0,31.0
1203590,27.0,0.0,1.0
1203593,23.0,5.0,21.0
1734033,9.0,0.0,0.0
28052,56.0,21.0,0.0
439703,20.0,5.0,0.0
1465754,2.0,1.0,0.0
1465757,10.0,2.0,0.0
1111454,1.0,0.0,0.0
652706,2.0,0.0,0.0
652708,2.0,0.0,1.0
1703332,1.0,0.0,0.0
46503,102.0,37.0,0.0
652713,11.0,3.0,0.0
46506,96.0,32.0,0.0
218538,55.0,15.0,22.0
652716,29.0,8.0,17.0
652721,21.0,5.0,0.0
712118,16.0,0.0,16.0
712121,13.0,0.0,3.0
56774,1.0,0.0,2.0
134605,7.0,5.0,0.0
552398,3.0,0.0,0.0
28111,84.0,30.0,0.0
574930,58.0,17.0,0.0
28114,6.0,9.0,0.0
28116,86.0,25.0,0.0
28117,86.0,32.0,0.0
28118,100.0,38.0,6.0
712148,24.0,0.0,14.0
1496,1.0,0.0,0.0
169435,1.0,2.0,0.0
28123,37.0,19.0,0.0
28124,27.0,0.0,0.0
28125,6.0,0.0,0.0
1502,27.0,10.0,0.0
28127,1.0,2.0,9.0
28128,17.0,10.0,0.0
28129,30.0,0.0,29.0
28130,12.0,8.0,16.0
28131,48.0,13.0,28.0
28132,32.0,0.0,44.0
28133,44.0,16.0,35.0
28135,20.0,5.0,18.0
28136,30.0,8.0,20.0
28137,37.0,11.0,29.0
1871336,43.0,15.0,8.0
1512,6.0,2.0,0.0
1526,3.0,0.0,0.0
1529,11.0,8.0,0.0
1531,82.0,27.0,0.0
671228,54.0,0.0,17.0
671230,1.0,0.0,1.0
454154,41.0,10.0,10.0
1588749,8.0,0.0,20.0
1160721,43.0,14.0,0.0
1750560,5.0,1.0,0.0
470565,27.0,0.0,1.0
1504823,52.0,20.0,0.0
1232442,2.0,0.0,0.0
1232443,1.0,0.0,0.0
1232444,2.0,0.0,0.0
1232445,1.0,0.0,0.0
1232447,2.0,0.0,0.0
1414720,16.0,7.0,0.0
40520,98.0,35.0,0.0
1232457,2.0,2.0,0.0
1226322,7.0,0.0,0.0
1226324,2.0,0.0,0.0
1226325,29.0,10.0,0.0
1623,4.0,0.0,0.0
208479,90.0,29.0,0.0
712288,66.0,23.0,23.0
40545,36.0,7.0,0.0
1659,12.0,0.0,0.0
1660,1.0,0.0,17.0
589436,28.0,8.0,0.0
589437,23.0,9.0,17.0
384638,4.0,1.0,0.0
1384078,12.0,5.0,0.0
1680,13.0,5.0,0.0
1681,1.0,0.0,0.0
1685,3.0,0.0,0.0
712357,18.0,4.0,1.0
712359,32.0,15.0,4.0
341694,57.0,26.0,26.0
1735,73.0,28.0,0.0
1550024,1.0,0.0,0.0
257758,32.0,0.0,26.0
589537,16.0,6.0,0.0
204516,101.0,30.0,0.0
1042156,17.0,13.0,0.0
1795827,6.0,0.0,0.0
61171,5.0,2.0,0.0
1795828,1.0,0.0,0.0
102148,52.0,19.0,21.0
487174,70.0,34.0,0.0
147207,5.0,0.0,0.0
147206,4.0,0.0,0.0
712461,29.0,10.0,37.0
438033,9.0,0.0,0.0
712469,24.0,5.0,21.0
1347393,23.0,5.0,0.0
214851,3.0,2.0,0.0
501571,2.0,0.0,0.0
585543,96.0,32.0,0.0
85831,47.0,12.0,0.0
214856,64.0,14.0,0.0
585544,3.0,1.0,0.0
1519439,97.0,37.0,0.0
712528,23.0,0.0,15.0
712531,7.0,0.0,5.0
712532,9.0,0.0,0.0
563031,34.0,14.0,39.0
1849176,22.0,0.0,0.0
712535,8.0,0.0,0.0
712538,13.0,0.0,0.0
563036,20.0,0.0,3.0
563037,24.0,8.0,0.0
411484,7.0,1.0,0.0
411486,4.0,1.0,0.0
411489,53.0,19.0,0.0
1392486,28.0,10.0,0.0
1392487,14.0,0.0,0.0
1118058,12.0,0.0,0.0
638849,11.0,0.0,0.0
1720194,5.0,4.0,0.0
544645,76.0,27.0,0.0
1470345,35.0,21.0,0.0
1230730,1.0,0.0,0.0
1720204,5.0,0.0,0.0
1230734,2.0,0.0,0.0
1169321,10.0,2.0,0.0
135082,10.0,0.0,12.0
712620,16.0,8.0,0.0
712622,23.0,5.0,0.0
712624,27.0,0.0,2.0
712630,20.0,0.0,1.0
712633,12.0,0.0,9.0
1169349,1.0,0.0,0.0
425941,25.0,6.0,36.0
51160,3.0,0.0,0.0
176090,15.0,7.0,0.0
1650661,22.0,2.0,0.0
376806,48.0,14.0,0.0
1650663,55.0,15.0,0.0
1720298,11.0,0.0,0.0
397291,2.0,0.0,0.0
157687,46.0,10.0,18.0
157688,34.0,7.0,15.0
563193,40.0,12.0,0.0
1583098,36.0,14.0,1.0
157691,1.0,0.0,2.0
315405,0.0,3.0,0.0
242750,0.0,2.0,7.0
1111133,0.0,6.0,0.0
313439,0.0,8.0,0.0
1515615,0.0,4.0,0.0
641148,0.0,4.0,0.0
1105029,0.0,9.0,0.0
1870984,0.0,3.0,0.0
1871017,0.0,5.0,0.0
1161409,0.0,4.0,0.0
1608908,0.0,1.0,0.0
33043,0.0,1.0,0.0
1702170,0.0,2.0,0.0
285,0.0,1.0,0.0
938293,0.0,5.0,0.0
1334,0.0,6.0,0.0
665942,0.0,2.0,0.0
630129,0.0,6.0,0.0
1477000,0.0,4.0,0.0
712124,0.0,6.0,0.0
1287640,0.0,1.0,0.0
28134,0.0,2.0,8.0
490,0.0,3.0,0.0
671216,0.0,2.0,0.0
1673725,0.0,3.0,0.0
1535,0.0,2.0,0.0
78346,0.0,7.0,0.0
1739286,0.0,7.0,0.0
1860123,0.0,2.0,0.0
1739305,0.0,5.0,0.0
333367,0.0,2.0,0.0
573,0.0,3.0,0.0
502393,0.0,3.0,0.0
1739394,0.0,13.0,0.0
1891969,0.0,2.0,0.0
361101,0.0,3.0,0.0
421530,0.0,6.0,0.0
457398,0.0,2.0,0.0
44742,0.0,3.0,0.0
501496,0.0,9.0,0.0
1776390,0.0,4.0,0.0
1736502,0.0,14.0,0.0
246618,0.0,6.0,0.0
1144673,0.0,2.0,0.0
507750,0.0,2.0,0.0
1715053,0.0,4.0,0.0
1169331,0.0,5.0,0.0
77768,0.0,6.0,0.0
114652,0.0,4.0,0.0
1715176,0.0,5.0,6.0
41976,0.0,3.0,0.0
712710,0.0,0.0,11.0
52229,0.0,0.0,2.0
172042,0.0,0.0,20.0
1581080,0.0,0.0,6.0
1219626,0.0,0.0,3.0
1095726,0.0,0.0,6.0
2121,0.0,0.0,8.0
2124,0.0,0.0,19.0
84109,0.0,0.0,1.0
194702,0.0,0.0,1.0
61592,0.0,0.0,2.0
106649,0.0,0.0,2.0
147645,0.0,0.0,8.0
1161417,0.0,0.0,10.0
1485002,0.0,0.0,6.0
210,0.0,0.0,12.0
912594,0.0,0.0,2.0
212,0.0,0.0,3.0
1283291,0.0,0.0,1.0
109790,0.0,0.0,5.0
310514,0.0,0.0,1.0
33031,0.0,0.0,4.0
33034,0.0,0.0,5.0
467210,0.0,0.0,5.0
189722,0.0,0.0,7.0
1309,0.0,0.0,2.0
1528099,0.0,0.0,1.0
77095,0.0,0.0,2.0
713008,0.0,0.0,1.0
316,0.0,0.0,11.0
1768764,0.0,0.0,10.0
1579339,0.0,0.0,7.0
339,0.0,0.0,10.0
1579350,0.0,0.0,9.0
1382,0.0,0.0,15.0
1383,0.0,0.0,9.0
712119,0.0,0.0,11.0
28112,0.0,0.0,1.0
712156,0.0,0.0,13.0
28126,0.0,0.0,4.0
483,0.0,0.0,11.0
755172,0.0,0.0,1.0
671218,0.0,0.0,11.0
671224,0.0,0.0,7.0
137732,0.0,0.0,9.0
445961,0.0,0.0,7.0
1739304,0.0,0.0,1.0
1739317,0.0,0.0,8.0
1590,0.0,0.0,7.0
47671,0.0,0.0,23.0
1316410,0.0,0.0,7.0
1596,0.0,0.0,10.0
1316412,0.0,0.0,9.0
1599,0.0,0.0,4.0
1624,0.0,0.0,12.0
40542,0.0,0.0,8.0
1633,0.0,0.0,7.0
1739371,0.0,0.0,7.0
936556,0.0,0.0,1.0
84595,0.0,0.0,10.0
1656,0.0,0.0,7.0
936576,0.0,0.0,8.0
29321,0.0,0.0,14.0
1739402,0.0,0.0,11.0
936594,0.0,0.0,2.0
936595,0.0,0.0,2.0
936596,0.0,0.0,1.0
2718,0.0,0.0,2.0
1229484,0.0,0.0,1.0
35519,0.0,0.0,1.0
393921,0.0,0.0,1.0
83655,0.0,0.0,1.0
1750,0.0,0.0,3.0
1739483,0.0,0.0,9.0
187101,0.0,0.0,1.0
1739487,0.0,0.0,6.0
1190620,0.0,0.0,2.0
712411,0.0,0.0,1.0
76517,0.0,0.0,1.0
712437,0.0,0.0,10.0
1795832,0.0,0.0,1.0
230143,0.0,0.0,5.0
1739520,0.0,0.0,6.0
282402,0.0,0.0,12.0
133926,0.0,0.0,1.0
156456,0.0,0.0,1.0
177972,0.0,0.0,1.0
1321780,0.0,0.0,2.0
544580,0.0,0.0,14.0
1715021,0.0,0.0,1.0
563038,0.0,0.0,32.0
1715051,0.0,0.0,8.0
706435,0.0,0.0,19.0
1715086,0.0,0.0,6.0
1715092,0.0,0.0,31.0
135080,0.0,0.0,8.0
135083,0.0,0.0,11.0
1715116,0.0,0.0,8.0
1633200,0.0,0.0,2.0
1715123,0.0,0.0,8.0
197575,0.0,0.0,7.0
1852368,0.0,0.0,28.0
1841133,0.0,0.0,3.0
